iter	Passed	Remaining
213	878	3225
214	880	3216
215	883	3207
216	886	3197
217	889	3189
218	892	3181
219	894	3172
220	897	3164
221	900	3155
222	903	3148
223	906	3138
224	909	3132
225	912	3124
226	914	3115
227	917	3107
228	920	3099
229	924	3093
230	927	3086
231	929	3078
232	931	3067
233	934	3059
234	937	3051
235	941	3046
236	943	3037
237	946	3031
238	950	3025
239	953	3019
240	971	3059
241	974	3053
242	981	3058
243	986	3055
244	989	3049
245	993	3045
246	998	3042
247	1002	3039
248	1007	3037
249	1010	3032
250	1014	3027
251	1018	3023
252	1022	3018
253	1026	3014
254	1030	3010
255	1035	3008
256	1039	3006
257	1043	3002
258	1047	2996
259	1052	2995
260	1057	2992
261	1061	2991
262	1064	2982
263	1067	2976
264	1071	2972
265	1075	2968
266	1079	2962
267	1083	2958
268	1087	2954
269	1091	2949
270	1094	2944
271	1098	2941
272	1102	2936
273	1107	2933
274	1110	2928
275	1113	2920
276	1115	2911
277	1119	2907
278	1123	2904
279	1127	2899
280	1131	2896
281	1135	2891
282	1137	2881
283	1139	2874
284	1144	2870
285	1147	2865
286	1151	2861
287	1155	2855
288	1159	2852
289	1163	2848
290	1168	2845
291	1172	2843
292	1176	2839
293	1181	2836
294	1185	2832
295	1189	2827
296	1192	2823
297	1195	2816
298	1198	2810
299	1201	2803
300	1204	2798
301	1208	2794
302	1212	2789
303	1216	2785
304	1220	2780
305	1223	2775
306	1227	2770
307	1230	2764
308	1233	2757
309	1234	2748
310	1237	2742
311	1241	2737
312	1243	2730
313	1247	2725
314	1250	2719
315	1253	2713
316	1256	2707
317	1260	2702
318	1264	2699
319	1268	2695
320	1272	2691
321	1275	2685
322	1278	2679
323	1281	2673
324	1283	2665
325	1286	2660
326	1289	2654
327	1292	2648
328	1295	2643
329	1299	2638
330	1302	2632
331	1303	2623
332	1307	2618
333	1310	2612
334	1313	2606
335	1316	2601
336	1318	2593
337	1320	2586
338	1323	2581
339	1326	2574
340	1329	2568
341	1330	2559
342	1333	2554
343	1335	2547
344	1340	2544
345	1344	2540
346	1348	2536
347	1351	2532
348	1356	2529
349	1360	2526
350	1364	2522
351	1367	2517
352	1370	2512
353	1374	2507
354	1377	2502
355	1380	2498
356	1384	2494
357	1388	2490
358	1391	2485
359	1393	2477
360	1397	2472
361	1400	2468
362	1404	2465
363	1408	2460
364	1411	2455
365	1415	2452
366	1419	2448
367	1423	2444
368	1427	2440
369	1429	2434
370	1433	2430
371	1437	2425
372	1441	2423
373	1445	2419
374	1449	2416
375	1453	2411
376	1457	2408
377	1459	2400
378	1462	2396
379	1468	2395
380	1472	2393
381	1477	2389
382	1479	2383
383	1485	2383
384	1491	2382
385	1493	2375
386	1495	2369
387	1500	2366
388	1505	2365
389	1512	2365
390	1516	2362
391	1521	2359
392	1527	2358
393	1531	2355
394	1535	2352
395	1540	2349
396	1545	2347
397	1549	2343
398	1551	2337
399	1556	2334
400	1560	2330
401	1562	2323
402	1566	2319
403	1570	2316
404	1572	2310
405	1574	2303
406	1575	2296
407	1581	2294
408	1584	2290
409	1587	2285
410	1589	2277
411	1592	2273
412	1596	2268
413	1600	2265
414	1603	2259
415	1607	2256
416	1611	2253
417	1614	2248
418	1617	2243
419	1621	2239
420	1626	2237
421	1630	2232
422	1633	2228
423	1634	2220
424	1638	2217
425	1642	2213
426	1645	2208
427	1648	2203
428	1651	2198
